Country,Discriminative Score
AT,0.23488372564315796
BE,0.40697675943374634
BG,0.025581389665603638
CH,0.09534883499145508
CZ,0.002325594425201416
EE,0.1325581669807434
ES,0.08604651689529419
FI,0.002325594425201416
FR,0.4534883499145508
GR,0.3372092843055725
HR,0.006976723670959473
HU,0.04883718490600586
LT,0.10465115308761597
LV,0.16976743936538696
NL,0.4255813956260681
PL,0.14651161432266235
PT,0.06279069185256958
RO,0.00697675347328186
RS,0.002325594425201416
SI,0.034883707761764526
SK,0.30000001192092896
