timestamp,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
2024-03-14 14:00:00+00:00,7574.0,1458.0,9694.0,4901.0,7177.0,8004.0,60815.0,4824.0,1077.0,28372.0,10437.0,50616.0,5359.0,1972.0,5022.0,4472.2,36661.0,1447.0,631.0,915.0,861.0,315.0,617.0,13012.0,17557.0,21954.0,7027.0,7288.0,4310.0,17570.0,1405.0,3183.0
2024-03-14 14:15:00+00:00,7614.0,1469.5,9674.0,4932.0,7103.0,7961.5,60184.0,4816.25,1086.0,28060.0,10547.0,50239.0,5347.25,1968.0,5083.0,4463.9,36748.0,1465.75,626.0,913.0,858.75,317.5,644.75,13051.0,17590.5,22015.0,7005.25,7330.0,4318.75,17672.25,1428.0,3211.5
2024-03-14 14:30:00+00:00,7640.0,1481.0,9516.0,4963.0,7029.0,7919.0,60156.0,4808.5,1095.0,28056.0,10562.0,49862.0,5335.5,1993.0,5151.0,4455.6,36835.0,1484.5,624.0,911.0,856.5,320.0,672.5,13133.0,17624.0,22076.0,6983.5,7374.0,4327.5,17774.5,1451.0,3240.0
2024-03-14 14:45:00+00:00,7674.0,1492.5,9529.0,4994.0,6955.0,7876.5,59994.0,4800.75,1104.0,28092.0,10506.0,49485.0,5323.75,2027.0,5221.0,4447.3,36922.0,1503.25,620.0,909.0,854.25,322.5,700.25,13212.0,17657.5,22137.0,6961.75,7398.0,4336.25,17876.75,1474.0,3268.5
2024-03-14 15:00:00+00:00,7721.0,1504.0,9664.0,5025.0,6881.0,7834.0,60015.0,4793.0,1113.0,28092.0,10533.0,49108.0,5312.0,2031.0,5283.0,4439.0,37009.0,1522.0,621.0,907.0,852.0,325.0,728.0,13407.0,17691.0,22198.0,6940.0,7374.0,4345.0,17979.0,1497.0,3297.0
2024-03-14 15:15:00+00:00,7757.0,1538.75,9699.0,5106.0,6902.0,7804.25,59894.0,4834.75,1122.5,28232.0,10511.0,48775.75,5407.0,2030.0,5350.0,4447.0,36935.5,1548.75,616.0,916.75,861.5,333.5,747.5,13542.0,17673.75,22308.0,6952.25,7413.0,4377.75,18131.5,1542.5,3315.25
2024-03-14 15:30:00+00:00,7798.0,1573.5,9745.0,5187.0,6923.0,7774.5,60338.0,4876.5,1132.0,28292.0,10496.0,48443.5,5502.0,2069.0,5371.0,4455.0,36862.0,1575.5,614.0,926.5,871.0,342.0,767.0,13660.0,17656.5,22418.0,6964.5,7435.0,4410.5,18284.0,1588.0,3333.5
2024-03-14 15:45:00+00:00,7884.0,1608.25,9866.0,5268.0,6944.0,7744.75,60923.0,4918.25,1141.5,28356.0,10459.0,48111.25,5597.0,2140.0,5454.0,4474.0,36788.5,1602.25,622.0,936.25,880.5,350.5,786.5,13951.0,17639.25,22528.0,6976.75,7504.0,4443.25,18436.5,1633.5,3351.75
2024-03-14 16:00:00+00:00,7947.0,1643.0,10004.0,5349.0,6965.0,7715.0,61612.0,4960.0,1151.0,28368.0,10462.0,47779.0,5692.0,2139.0,5529.0,4493.0,36715.0,1629.0,619.0,946.0,890.0,359.0,806.0,14269.0,17622.0,22638.0,6989.0,7527.0,4476.0,18589.0,1679.0,3370.0
2024-03-14 16:15:00+00:00,8052.0,1640.0,10127.0,5384.25,7021.5,7777.0,62078.0,4951.0,1148.0,28940.0,10549.0,47886.75,5805.75,2184.0,5578.0,4533.0,37170.0,1639.5,625.0,947.5,891.0,365.75,810.25,14633.0,17671.0,22858.0,7003.0,7610.0,4526.75,18617.5,1702.75,3408.0
