Country,Discriminative Score
AT,0.029754966497421265
BA,0.0005834400653839111
BE,0.008751451969146729
BG,0.019253194332122803
CH,0.02158692479133606
CZ,0.014585763216018677
DE,0.014585793018341064
DK,0.0017502903938293457
EE,0.020420074462890625
ES,0.0040840208530426025
FI,0.026254355907440186
FR,0.011085182428359985
GR,0.01225203275680542
HR,0.026254355907440186
HU,0.014585763216018677
IE,0.007584601640701294
IT,0.0040840208530426025
LT,0.013418912887573242
LU,0.0017502903938293457
LV,0.011085182428359985
MD,0.004083991050720215
ME,0.019253194332122803
MK,0.00991833209991455
NL,0.0005834400653839111
NO,0.0005834102630615234
PL,0.04142355918884277
PT,0.01225203275680542
RO,0.008751451969146729
RS,0.033255547285079956
SE,0.0005834102630615234
SI,0.0017502903938293457
SK,0.03792297840118408
