Country,Discriminative Score
AT,0.04883718490600586
BE,0.002325594425201416
BG,0.030232548713684082
CH,0.002325594425201416
CZ,0.011627912521362305
EE,0.006976723670959473
ES,0.0441860556602478
FI,0.00697675347328186
FR,0.01627907156944275
GR,0.002325594425201416
HR,0.034883707761764526
HU,0.04883721470832825
LT,0.01627907156944275
LV,0.002325594425201416
NL,0.002325594425201416
PL,0.04883718490600586
PT,0.006976723670959473
RO,0.002325594425201416
RS,0.002325594425201416
SI,0.002325594425201416
SK,0.020930230617523193
