Country,Discriminative Score
AT,0.2246207594871521
BA,0.09976661205291748
BE,0.2479580044746399
BG,0.32847142219543457
CH,0.30863475799560547
CZ,0.0005834400653839111
DE,0.005250871181488037
DK,0.4649941921234131
EE,0.09393233060836792
ES,0.021586954593658447
FI,0.16744458675384521
FR,0.1779463291168213
GR,0.33197200298309326
HR,0.3378062844276428
HU,0.1896149218082428
IE,0.09393233060836792
IT,0.0005834400653839111
LT,0.10676777362823486
LU,0.3483080267906189
LV,0.07526254653930664
MD,0.12893813848495483
ME,0.28063011169433594
MK,0.22345387935638428
NL,0.11960327625274658
NO,0.3249708414077759
PL,0.08576428890228271
PT,0.027421236038208008
RO,0.18028002977371216
RS,0.3098016381263733
SE,0.19194865226745605
SI,0.12543758749961853
SK,0.20245039463043213
