Country,Discriminative Score
AT,0.09743291139602661
BA,0.008751451969146729
BE,0.07993000745773315
BG,0.32847142219543457
CH,0.24912482500076294
CZ,0.019253194332122803
DE,0.0005834102630615234
DK,0.47899651527404785
EE,0.09043174982070923
ES,0.0005834102630615234
FI,0.19428235292434692
FR,0.2631272077560425
GR,0.0005834400653839111
HR,0.35530924797058105
HU,0.3763127326965332
IE,0.26079344749450684
IT,0.0017502903938293457
LT,0.01575261354446411
LU,0.3914819359779358
LV,0.008751451969146729
MD,0.33197200298309326
ME,0.4194865822792053
MK,0.3214702606201172
NL,0.2981330156326294
NO,0.34014004468917847
PL,0.22228705883026123
PT,0.01225203275680542
RO,0.4813302159309387
RS,0.29229873418807983
SE,0.051925331354141235
SI,0.0927654504776001
SK,0.0927654504776001
