Country,Discriminative Score
AT,0.058139532804489136
BE,0.002325594425201416
BG,0.011627912521362305
CH,0.034883737564086914
CZ,0.00697675347328186
EE,0.020930230617523193
ES,0.03953489661216736
FI,0.00697675347328186
FR,0.002325594425201416
GR,0.002325594425201416
HR,0.025581419467926025
HU,0.025581389665603638
LT,0.01627904176712036
LV,0.002325594425201416
NL,0.025581419467926025
PL,0.002325594425201416
PT,0.002325594425201416
RO,0.002325594425201416
RS,0.05348837375640869
SI,0.03953486680984497
SK,0.002325594425201416
