timestamp,AT,BE,BG,CH,CZ,EE,ES,FI,FR,GR,HR,HU,LT,LV,NL,PL,PT,RO,RS,SI,SK
2024-08-07 07:00:00+00:00,85.59,69.06,89.25,51.39,91.06,91.87,87.97,23.2,38.8,95.0,88.44,89.25,91.87,91.87,87.84,91.87,87.97,89.25,89.75,87.92,89.96
2024-08-07 08:00:00+00:00,71.0,58.17,73.82,43.55,75.23,75.86,78.7,22.21,34.72,73.82,73.19,73.82,75.86,75.86,72.05,75.86,79.39,73.82,66.25,72.8,74.37
2024-08-07 09:00:00+00:00,62.41,43.41,62.8,43.09,63.5,64.59,79.6,22.38,14.96,62.8,62.58,62.64,64.59,64.59,61.48,64.59,79.6,62.8,59.94,62.53,62.87
2024-08-07 10:00:00+00:00,40.45,26.84,42.13,39.38,42.93,43.31,81.1,22.41,19.62,53.55,41.75,42.13,43.31,43.31,36.88,43.31,81.1,42.13,59.93,41.52,42.44
2024-08-07 11:00:00+00:00,31.81,12.32,33.55,36.66,34.04,35.33,82.0,20.86,19.68,65.44,33.12,33.5,35.33,35.33,-2.88,35.33,82.0,33.55,72.62,32.87,33.86
2024-08-07 12:00:00+00:00,45.63,8.25,60.28,37.31,49.93,51.74,82.49,20.0,16.79,70.01,50.19,48.85,51.74,51.74,-10.06,51.74,82.49,60.28,79.48,48.68,49.01
2024-08-07 13:00:00+00:00,63.09,9.89,98.94,38.09,68.46,69.85,79.6,20.6,18.3,98.94,71.77,66.94,69.85,69.85,-10.06,69.85,79.6,98.94,114.47,68.34,66.35
2024-08-07 14:00:00+00:00,76.41,-6.2,119.79,38.09,84.26,85.25,79.6,20.19,6.17,119.79,86.57,81.65,85.25,85.25,0.0,88.0,79.6,119.79,121.07,82.8,81.36
2024-08-07 15:00:00+00:00,97.97,25.03,124.0,37.5,109.77,116.85,82.0,20.18,11.37,124.0,115.77,109.95,116.85,116.85,55.0,111.57,82.0,124.0,117.94,117.1,108.89
2024-08-07 16:00:00+00:00,96.91,78.65,184.27,45.2,132.5,300.06,84.23,20.7,44.58,184.27,232.18,169.77,300.06,300.06,105.0,138.94,84.23,184.27,175.01,263.11,152.25
2024-08-07 17:00:00+00:00,98.06,90.72,238.6,52.12,164.88,172.04,89.0,17.88,62.5,238.6,297.11,222.38,172.04,172.04,97.94,172.04,89.0,238.6,216.14,334.04,198.51
2024-08-07 18:00:00+00:00,105.1,108.33,330.0,52.09,185.58,207.9,116.2,14.72,62.61,330.0,368.19,306.23,207.9,207.9,125.93,207.9,116.2,330.0,265.67,400.3,237.52
2024-08-07 19:00:00+00:00,108.22,104.43,208.8,54.91,155.41,164.19,128.9,12.14,59.43,208.8,246.79,199.61,164.19,164.19,134.25,164.19,128.9,208.8,203.47,272.05,175.91
2024-08-07 20:00:00+00:00,95.93,94.86,160.0,52.99,125.92,130.66,122.42,8.89,67.68,160.0,184.85,152.94,130.66,130.66,112.74,130.66,122.42,160.0,150.04,201.85,137.74
2024-08-07 21:00:00+00:00,94.92,87.66,120.36,49.59,106.02,106.19,115.58,4.93,65.14,120.36,122.21,117.12,106.19,106.19,102.78,106.19,115.58,120.36,128.33,124.84,104.74
2024-08-07 22:00:00+00:00,85.9,75.41,129.09,47.08,100.69,99.6,107.75,2.9,42.9,129.09,127.32,124.28,99.6,99.6,96.63,99.6,107.75,129.09,119.05,129.42,96.34
2024-08-07 23:00:00+00:00,82.3,67.35,119.49,45.94,89.98,89.82,103.79,2.59,35.58,119.49,94.5,89.12,89.82,89.82,88.79,89.96,103.79,119.49,95.14,91.06,87.64
2024-08-08 00:00:00+00:00,80.0,62.5,111.67,45.92,89.74,90.09,98.38,2.58,24.32,113.6,92.18,88.37,90.09,90.09,88.52,90.09,98.38,111.67,90.83,89.31,87.53
2024-08-08 01:00:00+00:00,79.94,59.07,112.56,45.0,90.67,90.93,101.81,2.61,18.31,112.56,93.31,90.18,90.93,90.93,88.06,90.93,101.81,112.56,92.24,90.28,88.01
2024-08-08 02:00:00+00:00,79.97,59.7,107.63,43.32,90.94,91.25,101.81,2.97,17.17,107.63,92.91,91.58,91.25,91.25,88.41,91.25,101.81,107.63,94.07,90.3,88.14
2024-08-08 03:00:00+00:00,88.08,67.69,115.3,44.7,98.7,125.12,101.93,4.87,25.71,115.3,101.41,100.6,125.12,125.12,96.11,98.84,101.93,115.3,109.13,98.68,95.51
2024-08-08 04:00:00+00:00,100.75,77.43,126.9,46.66,110.93,181.8,107.75,8.6,27.96,126.9,115.05,115.95,181.8,181.8,110.91,129.62,107.75,126.9,125.0,112.43,115.95
2024-08-08 05:00:00+00:00,111.19,92.95,124.58,46.56,128.21,196.67,115.1,14.72,42.11,124.58,123.14,124.56,196.67,196.67,124.95,129.7,115.1,124.58,128.5,122.0,125.92
2024-08-08 06:00:00+00:00,104.29,91.17,114.29,46.54,117.05,118.02,107.82,16.42,52.12,114.29,113.15,114.28,118.02,118.02,117.76,118.02,107.82,114.29,113.04,112.38,115.35
