Country,Discriminative Score
AT,0.005250871181488037
BA,0.022753775119781494
BE,0.006417721509933472
BG,0.018086344003677368
CH,0.0005834102630615234
CZ,0.007584601640701294
DE,0.019253194332122803
DK,0.0040840208530426025
EE,0.00991833209991455
ES,0.005250871181488037
FI,0.026254385709762573
FR,0.0309218168258667
GR,0.048424750566482544
HR,0.0005834400653839111
HU,0.00991833209991455
IE,0.007584571838378906
IT,0.03442239761352539
LT,0.011085182428359985
LU,0.016919493675231934
LV,0.008751451969146729
MD,0.014585793018341064
ME,0.05659276247024536
MK,0.0005834400653839111
NL,0.007584601640701294
NO,0.005250871181488037
PL,0.013418912887573242
PT,0.018086373805999756
RO,0.005250871181488037
RS,0.006417751312255859
SE,0.04025670886039734
SI,0.014585793018341064
SK,0.026254355907440186
