timestamp,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
2023-01-01 11:45:00+00:00,5661.0,1164.5,7649.0,3266.0,6947.25,5912.0,43817.0,3853.5,912.75,19872.0,9545.25,43942.5,4338.0,1723.0,3699.0,3632.5,22638.0,1139.75,431.0,658.25,486.75,351.5,929.75,10494.0,17938.5,14319.5,5263.75,4316.0,3552.0,15392.0,989.75,2484.25
2023-01-01 12:00:00+00:00,5720.0,1207.0,7674.0,3269.0,6949.0,5922.0,43944.0,3866.0,912.0,20000.0,9551.0,43762.0,4216.0,1698.0,3711.0,3687.0,22455.0,1145.0,431.0,659.0,486.0,348.0,930.0,10476.0,17966.0,14417.0,5341.0,4329.0,3534.0,15431.0,986.0,2460.0
2023-01-01 12:15:00+00:00,5664.0,1147.75,7560.0,3313.75,6949.75,5928.5,43727.0,3866.0,916.0,20324.0,9599.75,43643.5,4203.75,1673.0,3703.0,3739.5,22242.5,1150.0,427.0,662.0,487.5,344.75,928.75,10414.0,17997.75,14487.5,5298.0,4341.0,3515.5,15505.5,986.75,2457.75
2023-01-01 12:30:00+00:00,5631.0,1088.5,7596.0,3358.5,6950.5,5935.0,43542.0,3866.0,920.0,20480.0,9648.5,43525.0,4191.5,1645.0,3700.0,3792.0,22030.0,1155.0,422.0,665.0,489.0,341.5,927.5,10406.0,18029.5,14558.0,5255.0,4368.0,3497.0,15580.0,987.5,2455.5
2023-01-01 12:45:00+00:00,5616.0,1029.25,7567.0,3403.25,6951.25,5941.5,43274.0,3866.0,924.0,20628.0,9697.25,43406.5,4179.25,1623.0,3724.0,3826.0,21817.5,1160.0,420.0,668.0,490.5,338.25,926.25,10609.0,18061.25,14628.5,5212.0,4390.0,3478.5,15654.5,988.25,2453.25
2023-01-01 13:00:00+00:00,5682.0,970.0,7769.0,3448.0,6952.0,5948.0,43237.0,3866.0,928.0,20772.0,9746.0,43288.0,4167.0,1602.0,3823.0,3860.0,21605.0,1165.0,418.0,671.0,492.0,335.0,925.0,10840.0,18093.0,14699.0,5169.0,4421.0,3460.0,15729.0,989.0,2451.0
2023-01-01 13:15:00+00:00,5677.0,980.75,7794.0,3538.25,6951.25,5971.0,43122.0,3844.75,942.25,20676.0,9841.0,43123.75,4180.0,1591.0,3848.0,3868.0,21656.75,1181.0,415.0,682.25,500.5,333.5,928.25,11010.0,18277.75,14805.0,5117.75,4445.0,3461.0,15902.0,1001.0,2433.0
2023-01-01 13:30:00+00:00,5698.0,991.5,7695.0,3628.5,6950.5,5994.0,43365.0,3823.5,956.5,20392.0,9936.0,42959.5,4193.0,1584.0,3917.0,3876.0,21708.5,1197.0,410.0,693.5,509.0,332.0,931.5,11115.0,18462.5,14911.0,5066.5,4479.0,3462.0,16075.0,1013.0,2415.0
2023-01-01 13:45:00+00:00,5703.0,1002.25,7558.0,3718.75,6949.75,6017.0,43202.0,3802.25,970.75,20288.0,10031.0,42795.25,4206.0,1579.0,3983.0,3861.0,21760.25,1213.0,411.0,704.75,517.5,330.5,934.75,11173.0,18647.25,15017.0,5015.25,4523.0,3463.0,16248.0,1025.0,2397.0
2023-01-01 14:00:00+00:00,5774.0,1013.0,7514.0,3809.0,6949.0,6040.0,43651.0,3781.0,985.0,20104.0,10126.0,42631.0,4219.0,1574.0,4056.0,3846.0,21812.0,1229.0,410.0,716.0,526.0,329.0,938.0,11268.0,18832.0,15123.0,4964.0,4600.0,3464.0,16421.0,1037.0,2379.0
