Country,Discriminative Score
AT,0.30000001192092896
BE,0.2627906799316406
BG,0.002325594425201416
CH,0.35581398010253906
CZ,0.01627904176712036
EE,0.002325594425201416
ES,0.11860466003417969
FI,0.06279069185256958
FR,0.05348837375640869
GR,0.17906975746154785
HR,0.03953486680984497
HU,0.034883737564086914
LT,0.03953489661216736
LV,0.05348837375640869
NL,0.002325594425201416
PL,0.2581395357847214
PT,0.19767439365386963
RO,0.07209300994873047
RS,0.002325594425201416
SI,0.002325594425201416
SK,0.020930230617523193
