timestamp,AT,BE,BG,CH,CZ,EE,ES,FI,FR,GR,HR,HU,LT,LV,NL,PL,PT,RO,RS,SI,SK
2023-01-01 12:00:00+00:00,1.53,-0.12,2.49,-0.79,1.53,5.68,0.1,5.68,0.1,81.95,2.13,2.56,5.68,5.68,0.0,14.06,0.1,2.49,31.04,1.78,2.76
2023-01-01 13:00:00+00:00,5.78,0.85,9.7,3.06,5.78,17.71,0.1,17.71,1.5,179.73,7.89,9.96,17.71,17.71,0.85,56.41,0.1,9.7,29.64,6.41,9.96
2023-01-01 14:00:00+00:00,23.85,23.5,23.86,9.53,23.72,24.11,0.01,24.11,23.5,295.0,23.79,23.87,24.11,24.11,23.53,91.66,0.01,23.86,62.45,23.76,23.87
2023-01-01 15:00:00+00:00,36.54,36.54,36.54,19.95,36.54,36.54,1.0,36.54,36.54,348.15,36.54,36.54,36.54,36.54,36.54,97.81,1.0,36.54,150.02,36.54,36.54
2023-01-01 16:00:00+00:00,46.03,46.03,46.03,30.46,46.03,46.03,4.16,46.03,46.03,322.34,46.03,46.03,46.03,46.03,46.03,102.08,4.16,46.03,137.86,46.03,46.03
2023-01-01 17:00:00+00:00,52.71,36.64,53.22,34.39,53.99,54.23,15.1,54.23,44.43,301.65,52.59,53.35,54.23,54.23,99.9,106.34,15.1,53.22,127.54,52.31,53.68
2023-01-01 18:00:00+00:00,54.95,54.95,54.95,35.15,54.95,53.63,19.51,53.63,54.95,353.15,54.95,54.95,53.63,53.63,54.95,108.73,19.51,54.95,127.04,54.95,54.95
2023-01-01 19:00:00+00:00,49.05,45.83,49.06,29.57,49.16,48.05,24.61,48.05,47.38,363.15,48.99,49.08,48.05,48.05,62.0,106.65,24.61,49.06,76.02,48.96,49.11
2023-01-01 20:00:00+00:00,44.14,36.57,44.27,24.92,44.56,44.68,40.07,44.68,40.24,283.56,44.03,44.32,44.68,44.68,52.93,107.42,40.07,44.27,51.02,43.94,44.43
2023-01-01 21:00:00+00:00,45.96,45.96,45.96,20.72,45.96,45.96,40.07,45.96,45.96,237.97,45.96,45.96,45.96,45.96,45.96,103.81,40.07,45.96,41.02,45.96,45.96
2023-01-01 22:00:00+00:00,35.0,35.0,35.0,13.46,35.0,35.0,16.0,35.0,35.0,230.59,35.0,35.0,35.0,35.0,35.0,90.35,16.0,35.0,35.95,35.0,35.0
2023-01-01 23:00:00+00:00,82.06,69.92,66.78,40.37,63.02,57.91,61.38,57.91,61.38,187.27,67.65,66.75,57.91,57.91,109.9,96.87,61.38,66.78,100.9,67.96,65.21
2023-01-02 00:00:00+00:00,73.03,59.14,59.3,29.23,56.08,51.67,42.17,51.67,52.68,187.2,60.01,59.31,51.67,51.67,94.9,96.07,42.17,59.3,76.99,60.17,57.98
2023-01-02 01:00:00+00:00,52.93,52.93,52.93,22.28,52.93,52.86,42.0,52.86,52.93,180.0,52.93,52.93,52.86,52.86,52.93,94.8,42.0,52.93,59.94,52.93,52.93
2023-01-02 02:00:00+00:00,46.12,42.59,44.67,14.17,44.39,44.16,42.07,44.16,42.75,180.0,44.68,44.69,44.16,44.16,44.16,94.86,42.07,44.67,20.84,44.64,44.59
2023-01-02 03:00:00+00:00,50.08,50.08,50.08,24.94,50.08,50.08,42.17,50.08,50.08,185.89,50.08,50.08,50.08,50.08,50.08,96.87,42.17,50.08,26.03,50.08,50.08
2023-01-02 04:00:00+00:00,78.1,69.72,72.53,48.84,71.36,70.73,63.22,70.73,67.91,271.87,72.69,72.57,70.73,70.73,77.09,96.99,63.22,72.53,76.96,72.65,72.11
2023-01-02 05:00:00+00:00,105.08,105.08,105.08,74.52,105.08,105.08,85.0,102.56,105.08,348.77,105.08,105.08,105.08,105.08,105.08,140.48,85.0,105.08,100.95,105.08,105.08
2023-01-02 06:00:00+00:00,140.64,140.64,140.64,112.32,140.64,138.19,105.36,138.19,140.64,353.77,140.64,140.64,138.19,138.19,140.64,140.64,105.36,140.64,135.07,140.64,140.64
2023-01-02 07:00:00+00:00,147.08,151.89,146.73,123.03,146.39,145.98,131.0,145.98,149.8,231.0,146.98,146.67,145.98,145.98,162.44,145.98,119.46,146.73,123.39,147.15,146.51
2023-01-02 08:00:00+00:00,149.23,158.84,148.55,125.92,147.87,147.05,131.58,147.05,154.66,203.99,149.04,148.42,147.05,147.05,180.0,147.05,120.14,148.55,127.1,149.37,148.09
2023-01-02 09:00:00+00:00,145.61,145.61,145.61,127.31,145.61,145.61,127.0,145.61,145.61,196.23,145.61,145.61,145.61,145.61,145.61,145.61,121.21,145.61,130.52,145.61,145.61
2023-01-02 10:00:00+00:00,143.35,143.35,143.35,125.47,143.35,143.35,126.07,143.35,143.35,188.89,143.35,143.35,143.35,143.35,143.35,143.35,125.0,143.35,135.01,143.35,143.35
2023-01-02 11:00:00+00:00,144.38,144.38,144.38,129.43,144.38,144.38,127.0,144.38,144.38,187.91,144.38,144.38,144.38,144.38,144.38,144.38,126.75,144.38,130.09,144.38,144.38
