Country,Discriminative Score
AT,0.17327886819839478
BA,0.23512250185012817
BE,0.2281213402748108
BG,0.32847142219543457
CH,0.33547258377075195
CZ,0.20478415489196777
DE,0.30396735668182373
DK,0.4929988384246826
EE,0.313302218914032
ES,0.3051341772079468
FI,0.1977829933166504
FR,0.11143523454666138
GR,0.3249708414077759
HR,0.28529757261276245
HU,0.44399064779281616
IE,0.20245039463043213
IT,0.345974326133728
LT,0.1977829933166504
LU,0.0005834102630615234
LV,0.0005834400653839111
MD,0.35064178705215454
ME,0.3611435294151306
MK,0.0005834400653839111
NL,0.24562424421310425
NO,0.005250871181488037
PL,0.2677946090698242
PT,0.2829638123512268
RO,0.23745626211166382
RS,0.19661611318588257
SE,0.20245039463043213
SI,0.11960327625274658
SK,0.13593930006027222
