timestamp,AT,BE,BG,CH,CZ,EE,ES,FI,FR,GR,HR,HU,LT,LV,NL,PL,PT,RO,RS,SI,SK
2024-03-14 14:00:00+00:00,64.76,47.24,70.73,70.83,66.0,88.03,3.2,24.94,41.56,70.73,67.42,70.79,88.03,88.03,54.82,88.03,3.2,70.73,72.05,66.37,72.39
2024-03-14 15:00:00+00:00,76.56,51.03,82.35,73.06,79.03,88.03,9.14,22.35,39.42,82.35,78.76,82.55,88.03,88.03,65.99,99.02,9.14,82.35,79.88,77.61,84.3
2024-03-14 16:00:00+00:00,92.53,71.14,97.0,87.28,94.81,110.18,21.71,20.94,59.81,97.0,94.06,97.16,110.18,110.18,85.64,110.18,21.71,97.0,92.31,93.11,98.62
2024-03-14 17:00:00+00:00,114.77,85.43,114.77,99.59,114.77,106.07,35.0,23.26,62.91,114.77,112.64,114.77,106.07,106.07,102.35,115.26,35.0,114.77,106.29,112.35,114.77
2024-03-14 18:00:00+00:00,97.97,87.45,102.3,93.55,97.35,80.07,85.82,19.36,85.82,102.3,101.23,102.24,80.07,80.07,89.92,109.52,78.25,102.3,105.9,101.22,102.52
2024-03-14 19:00:00+00:00,82.47,74.11,88.6,78.2,82.33,54.65,78.25,14.26,74.87,88.6,85.75,88.45,54.65,54.65,73.62,106.15,78.25,88.6,93.19,84.78,89.95
2024-03-14 20:00:00+00:00,72.97,62.83,82.62,72.56,72.1,3.49,62.8,3.49,62.8,82.62,85.04,82.27,3.49,3.49,62.96,76.69,62.8,82.62,73.96,87.63,79.82
2024-03-14 21:00:00+00:00,72.48,59.61,76.51,72.54,65.5,5.03,59.91,0.1,59.91,76.51,69.62,70.44,5.03,5.03,59.53,71.89,59.91,70.22,66.04,69.58,70.19
2024-03-14 22:00:00+00:00,55.5,50.0,60.09,70.83,56.51,5.09,37.48,-0.09,49.55,76.48,58.32,60.04,5.09,5.09,50.91,71.03,37.48,60.09,62.47,57.73,61.03
2024-03-14 23:00:00+00:00,48.05,46.87,48.16,69.2,48.29,0.59,34.97,-0.11,45.97,57.65,48.09,48.19,0.59,0.59,47.89,69.35,34.97,48.16,49.69,48.07,48.22
