Country,Discriminative Score
AT,0.044924139976501465
BA,0.00991833209991455
BE,0.0005834102630615234
BG,0.014585793018341064
CH,0.04025673866271973
CZ,0.018086373805999756
DE,0.004083991050720215
DK,0.006417751312255859
EE,0.008751451969146729
ES,0.01225203275680542
FI,0.0005834400653839111
FR,0.0005834400653839111
GR,0.006417751312255859
HR,0.02508753538131714
HU,0.03675612807273865
IE,0.018086373805999756
IT,0.0005834102630615234
LT,0.014585763216018677
LU,0.023920655250549316
LV,0.0005834102630615234
MD,0.005250871181488037
ME,0.019253194332122803
MK,0.042590439319610596
NL,0.016919493675231934
NO,0.00991833209991455
PL,0.008751451969146729
PT,0.00991833209991455
RO,0.01575261354446411
RS,0.00991833209991455
SE,0.0005834102630615234
SI,0.0005834400653839111
SK,0.006417721509933472
