timestamp,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
2024-12-01 19:45:00+00:00,7198.0,1631.75,9311.0,5231.5,7647.5,7631.0,53641.0,4558.25,951.25,28764.0,9652.0,54235.0,5583.75,2274.0,5649.0,4348.5,31023.5,1487.0,594.0,815.75,719.5,456.0,1036.25,14662.0,16558.0,18462.0,6325.5,6519.0,4602.25,16503.25,1547.75,3036.25
2024-12-01 20:00:00+00:00,7150.0,1609.0,9186.0,5174.0,7568.0,7501.0,53337.0,4532.0,939.0,28812.0,9866.0,53723.0,5479.0,2286.0,5579.0,4297.0,30528.0,1458.0,586.0,801.0,701.0,451.0,1034.0,14459.0,16519.0,18382.0,6299.0,6417.0,4580.0,16388.0,1529.0,2992.0
2024-12-01 20:15:00+00:00,7070.0,1569.5,9058.0,5081.75,7495.75,7459.0,53322.0,4494.0,922.5,28680.0,9944.0,53807.0,5376.0,2292.0,5509.0,4284.5,29903.0,1425.0,580.0,784.75,681.0,441.5,1027.25,14301.0,16425.25,17899.0,6212.75,6291.0,4577.0,16214.0,1512.0,2960.75
2024-12-01 20:30:00+00:00,6982.0,1530.0,9000.0,4989.5,7423.5,7393.0,52946.0,4456.0,906.0,28436.0,9929.0,53891.0,5273.0,2267.0,5429.0,4272.0,29278.0,1433.0,571.0,768.5,661.0,432.0,1020.5,14119.0,16331.5,17695.0,6126.5,6183.0,4574.0,16040.0,1495.0,2929.5
2024-12-01 20:45:00+00:00,6925.0,1490.5,8884.0,4897.25,7351.25,7348.0,52814.0,4418.0,889.5,28224.0,9956.0,53975.0,5170.0,2234.0,5387.0,4216.5,28653.0,1411.0,560.0,752.25,641.0,422.5,1013.75,13994.0,16237.75,17394.0,6040.25,6085.0,4571.0,15866.0,1478.0,2898.25
2024-12-01 21:00:00+00:00,7203.0,1451.0,8694.0,4805.0,7279.0,7344.0,52850.0,4380.0,873.0,27692.0,9881.0,54059.0,5067.0,2189.0,5365.0,4161.0,28028.0,1381.0,566.0,736.0,621.0,413.0,1007.0,13735.0,16144.0,17460.0,5954.0,5989.0,4568.0,15692.0,1461.0,2867.0
2024-12-01 21:15:00+00:00,7138.0,1419.75,8702.0,4713.0,7253.75,7260.0,52693.0,4333.25,867.5,27220.0,9847.0,54035.5,4943.0,2150.0,5286.0,4100.5,27329.25,1327.0,567.0,722.75,607.0,403.0,988.5,13562.0,15945.5,17092.0,5852.75,5896.0,4550.25,15499.5,1439.75,2835.0
2024-12-01 21:30:00+00:00,7028.0,1388.5,8650.0,4621.0,7228.5,7173.0,51904.0,4286.5,862.0,26672.0,9717.0,54012.0,4819.0,2102.0,5224.0,4040.0,26630.5,1299.0,555.0,709.5,593.0,393.0,970.0,13334.0,15747.0,16919.0,5751.5,5808.0,4532.5,15307.0,1418.5,2803.0
2024-12-01 21:45:00+00:00,6906.0,1357.25,8551.0,4529.0,7203.25,7129.0,51394.0,4239.75,856.5,25996.0,9591.0,53988.5,4695.0,2058.0,5208.0,3955.0,25931.75,1278.0,549.0,696.25,579.0,383.0,951.5,13193.0,15548.5,16492.0,5650.25,5727.0,4514.75,15114.5,1397.25,2771.0
2024-12-01 22:00:00+00:00,6896.0,1326.0,8503.0,4437.0,7178.0,7126.0,50898.0,4193.0,851.0,25284.0,9563.0,53965.0,4571.0,1994.0,5170.0,3870.0,25233.0,1257.0,543.0,683.0,565.0,373.0,933.0,12961.0,15350.0,16462.0,5549.0,5687.0,4497.0,14922.0,1376.0,2739.0
2024-12-01 22:15:00+00:00,6766.0,1292.75,8407.0,4378.5,7121.25,7019.0,50160.0,4322.0,842.5,24976.0,9462.0,53366.75,4493.0,1931.0,5103.0,3794.5,24698.5,1239.0,536.0,675.5,558.0,358.25,906.5,12761.0,15355.75,15979.0,5430.75,5625.0,4473.5,14877.25,1359.25,2712.5
2024-12-01 22:30:00+00:00,6665.0,1259.5,8364.0,4320.0,7064.5,6883.0,49663.0,4451.0,834.0,24352.0,9385.0,52768.5,4415.0,1864.0,5073.0,3719.0,24164.0,1221.0,525.0,668.0,551.0,343.5,880.0,12556.0,15361.5,15807.0,5312.5,5554.0,4450.0,14832.5,1342.5,2686.0
2024-12-01 22:45:00+00:00,6556.0,1226.25,8351.0,4261.5,7007.75,6764.0,48850.0,4580.0,825.5,23756.0,9327.0,52170.25,4337.0,1809.0,5038.0,3650.0,23629.5,1207.0,518.0,660.5,544.0,328.75,853.5,12446.0,15367.25,15675.0,5194.25,5493.0,4426.5,14787.75,1325.75,2659.5
2024-12-01 23:00:00+00:00,6646.0,1193.0,8279.0,4203.0,6951.0,6717.0,47947.0,4709.0,817.0,23276.0,9276.0,51572.0,4259.0,1760.0,4918.0,3581.0,23095.0,1193.0,513.0,653.0,537.0,314.0,827.0,12419.0,15373.0,15463.0,5076.0,5453.0,4403.0,14743.0,1309.0,2633.0
2024-12-01 23:15:00+00:00,6559.0,1173.0,8110.0,4188.25,7007.0,6693.0,47482.0,4676.25,812.0,23028.0,9169.0,51015.75,4235.25,1725.0,4817.0,3584.5,22780.25,1184.0,505.0,648.5,532.5,305.5,804.25,12273.0,15271.5,15299.0,4985.25,5416.0,4328.75,14700.5,1300.5,2609.25
2024-12-01 23:30:00+00:00,6493.0,1153.0,8080.0,4173.5,7063.0,6684.0,47197.0,4643.5,807.0,22604.0,9032.0,50459.5,4211.5,1676.0,4727.0,3588.0,22465.5,1171.0,495.0,644.0,528.0,297.0,781.5,12172.0,15170.0,15127.0,4894.5,5378.0,4254.5,14658.0,1292.0,2585.5
2024-12-01 23:45:00+00:00,6393.0,1133.0,8043.0,4158.75,7119.0,6771.0,46621.0,4610.75,802.0,22136.0,9094.0,49903.25,4187.75,1650.0,4641.0,3531.0,22150.75,1166.0,490.0,639.5,523.5,288.5,758.75,12025.0,15068.5,15170.0,4803.75,5351.0,4180.25,14615.5,1283.5,2561.75
