Country,Discriminative Score
AT,0.002325594425201416
BE,0.00697675347328186
BG,0.020930230617523193
CH,0.002325594425201416
CZ,0.002325594425201416
EE,0.034883707761764526
ES,0.00697675347328186
FI,0.05813956260681152
FR,0.030232548713684082
GR,0.006976723670959473
HR,0.025581389665603638
HU,0.01627904176712036
LT,0.01627907156944275
LV,0.011627912521362305
NL,0.04883721470832825
PL,0.002325594425201416
PT,0.002325594425201416
RO,0.020930230617523193
RS,0.025581419467926025
SI,0.002325594425201416
SK,0.002325594425201416
