Country,Discriminative Score
AT,0.002325594425201416
BE,0.23488372564315796
BG,0.01627904176712036
CH,0.31860464811325073
CZ,0.002325594425201416
EE,0.002325594425201416
ES,0.002325594425201416
FI,0.08604651689529419
FR,0.2813953459262848
GR,0.35116279125213623
HR,0.002325594425201416
HU,0.07209300994873047
LT,0.002325594425201416
LV,0.1093023419380188
NL,0.25813955068588257
PL,0.24418604373931885
PT,0.002325594425201416
RO,0.05348837375640869
RS,0.16046512126922607
SI,0.030232548713684082
SK,0.0441860556602478
