timestamp,AT,BE,BG,CH,CZ,EE,ES,FI,FR,GR,HR,HU,LT,LV,NL,PL,PT,RO,RS,SI,SK
2024-12-01 21:00:00+00:00,103.51,97.7,105.32,118.5,110.0,25.0,142.3,1.62,98.17,105.32,104.38,105.69,25.0,25.0,97.39,104.61,142.3,105.32,124.1,103.97,105.69
2024-12-01 22:00:00+00:00,85.0,85.0,85.0,115.15,85.0,17.35,133.21,0.01,85.0,85.0,85.0,85.0,17.35,17.35,85.0,88.3,133.21,85.0,108.09,85.0,85.0
2024-12-01 23:00:00+00:00,83.86,75.88,84.89,108.06,93.01,23.99,137.77,-0.09,76.45,84.89,84.59,85.5,23.99,23.99,74.77,78.46,137.77,84.89,81.9,84.28,86.08
2024-12-02 00:00:00+00:00,78.56,66.89,79.77,100.51,90.44,25.02,134.93,-0.15,67.84,100.6,79.36,80.62,25.02,25.02,66.21,70.75,134.93,79.77,75.88,78.99,81.35
2024-12-02 01:00:00+00:00,75.07,62.19,75.77,99.01,84.0,25.0,131.93,-0.33,63.08,97.0,75.23,76.4,25.0,25.0,61.57,70.09,131.93,75.77,72.03,74.91,76.65
2024-12-02 02:00:00+00:00,65.86,47.17,68.25,100.91,85.0,25.02,128.93,-0.46,45.53,68.25,67.3,69.22,25.02,25.02,46.5,59.61,128.93,68.25,69.47,66.71,69.92
2024-12-02 03:00:00+00:00,82.86,48.98,86.63,96.96,112.36,8.49,129.0,-0.1,38.37,97.88,85.22,88.15,8.49,8.49,49.15,72.64,129.0,86.63,74.7,84.26,89.28
2024-12-02 04:00:00+00:00,103.03,68.24,107.32,107.14,135.0,35.05,133.0,0.07,57.28,107.32,105.8,108.89,35.05,35.05,68.42,92.8,133.0,107.32,99.93,104.75,110.15
2024-12-02 05:00:00+00:00,132.03,94.08,132.43,126.86,148.76,84.1,141.5,2.08,96.56,132.43,130.9,134.36,84.1,84.1,92.51,114.55,141.5,132.43,131.92,130.26,135.44
2024-12-02 06:00:00+00:00,152.8,127.06,158.81,142.67,165.0,146.54,150.83,2.85,129.01,158.81,155.7,160.66,146.54,146.54,125.25,146.54,150.83,158.81,150.02,153.94,160.66
