Country,Discriminative Score
AT,0.004083991050720215
BA,0.020420074462890625
BE,0.0005834102630615234
BG,0.019253194332122803
CH,0.013418912887573242
CZ,0.026254385709762573
DE,0.0017502903938293457
DK,0.1627771258354187
EE,0.007584571838378906
ES,0.0017502903938293457
FI,0.01225203275680542
FR,0.00991833209991455
GR,0.02508753538131714
HR,0.04025670886039734
HU,0.023920655250549316
IE,0.02508750557899475
IT,0.019253194332122803
LT,0.023920655250549316
LU,0.013418912887573242
LV,0.004083991050720215
MD,0.011085182428359985
ME,0.033255547285079956
MK,0.023920655250549316
NL,0.0005834400653839111
NO,0.014585793018341064
PL,0.006417751312255859
PT,0.005250871181488037
RO,0.006417751312255859
RS,0.0017502903938293457
SE,0.023920655250549316
SI,0.04609102010726929
SK,0.006417751312255859
