Country,Discriminative Score
AT,0.011627912521362305
BE,0.01627907156944275
BG,0.00697675347328186
CH,0.020930230617523193
CZ,0.06744185090065002
EE,0.011627912521362305
ES,0.034883737564086914
FI,0.002325594425201416
FR,0.002325594425201416
GR,0.002325594425201416
HR,0.002325594425201416
HU,0.01627904176712036
LT,0.030232548713684082
LV,0.002325594425201416
NL,0.04883721470832825
PL,0.04883721470832825
PT,0.01627904176712036
RO,0.06279069185256958
RS,0.01627907156944275
SI,0.011627912521362305
SK,0.01627907156944275
