AT,BE,BG,CH,CZ,EE,ES,FI,FR,GR,HR,HU,LT,LV,NL,PL,PT,RO,RS,SI,SK
103.50999923020602,97.69999848052859,105.31999786332247,118.5000023984909,110.00000596582889,25.000000300109388,142.30000163078307,1.6199999121110886,98.17000390052795,105.31999959155917,104.37999743938445,105.69000294983387,25.000000300109388,25.000000300109388,97.39000027716162,104.60999497324228,142.30000163078307,105.31999786332247,124.09999574005603,103.96999982833862,105.68999756276608
84.99999882169068,85.00000297039746,85.00000080436467,115.150002489686,84.99999852910636,17.350000743940473,133.20999835968018,0.010000007812632206,84.99999982535839,84.99999664187432,85.00000205993652,85.0000000962615,17.350000743940473,17.350000743940473,84.99999971330168,88.2999979019165,133.20999835968018,85.00000080436467,108.09000386238097,84.99999935150146,84.99999803006648
83.85999777644874,75.8800033687055,84.88999925941228,108.05999895066023,93.01000231206416,23.989999482408166,137.77000252246856,-0.08999999017571103,76.44999990046024,84.88999674648046,84.59000056624411,85.50000120863318,23.989999482408166,23.989999482408166,74.76999787449837,78.46000254094601,137.77000252246856,84.88999925941228,81.90000036083161,84.27999720573425,86.08000305965543
78.55999838329852,66.89000062979758,79.76999985441564,100.50999885618687,90.44000073477625,25.02000029630959,134.93000474452973,-0.15000001199194235,67.84000051826239,100.60000192463399,79.36000054001808,80.62000161528587,25.02000029630959,25.02000029630959,66.20999713242055,70.74999970734119,134.93000474452973,79.76999985441564,75.88000041194259,78.99000162124634,81.35000067427754
75.07000201627612,62.189999671131375,75.76999819397925,99.00999907702207,83.999997472018,25.000000300109388,131.9300051212311,-0.33000000549305697,63.08000181049108,96.99999888166785,75.23000216126441,76.39999973580241,25.000000300109388,25.000000300109388,61.56999697387219,70.0899975848198,131.9300051212311,75.76999819397925,72.02999990604818,74.91000142097474,76.6499979071319
65.86000013139099,47.17000182360411,68.25000273883342,100.91000040531158,84.99999852910636,25.02000029630959,128.92999473571777,-0.46,45.52999976664781,68.24999927841127,67.2999986410141,69.22000128298998,25.02000029630959,25.02000029630959,46.49999980270863,59.609998255968094,128.92999473571777,68.25000273883342,69.46999806582927,66.70999791145324,69.92000219970942
82.86000188857318,48.97999994322658,86.6299984051287,96.95999817281961,112.36000440925359,8.4900004080683,129.00000294208527,-0.10000001299777073,38.369999797791245,97.87999804481863,85.21999755144118,88.14999771803618,8.4900004080683,8.4900004080683,49.14999941557646,72.64000387579202,129.00000294208527,86.6299984051287,74.69999779060483,84.26000163078308,89.27999988421797
103.02999846212566,68.23999915748836,107.32000178486106,107.1400018197298,134.99999441206455,35.050001419484616,132.99999526500702,0.07000000084983181,57.27999998092651,107.3200012820959,105.80000187516212,108.8899975541234,35.050001419484616,35.050001419484616,68.42000279963018,92.80000282526017,132.99999526500702,107.32000178486106,99.93000002309678,104.75000065803526,110.14999712631106
132.0299976107478,94.08000224128365,132.43000597923992,126.86000341892242,148.75999477803705,84.09999916762114,141.50000316619872,2.08000004099682,96.56000384628773,132.43000255063177,130.89999493598938,134.35999977856875,84.09999916762114,84.09999916762114,92.50999808728696,114.55000211387873,141.50000316619872,132.43000597923992,131.91999748945236,130.2599952125549,135.4399944409728
152.80000293388963,127.05999697655439,158.80999878376718,142.66999811649325,165.00000080406664,146.54000749647616,150.830003824234,2.8500000715535134,129.01000058174134,158.81000548541545,155.70000239133833,160.6600019723177,146.54000749647616,146.54000749647616,125.24999487876893,146.54000186920166,150.830003824234,158.80999878376718,150.01999758198855,153.93999402999876,160.65999890416862
