Country,Discriminative Score
AT,0.20361727476119995
BA,0.16744458675384521
BE,0.06826138496398926
BG,0.13243871927261353
CH,0.0005834400653839111
CZ,0.061260223388671875
DE,0.10210037231445312
DK,0.4603267312049866
EE,0.0005834102630615234
ES,0.027421236038208008
FI,0.19661611318588257
FR,0.0005834102630615234
GR,0.0005834400653839111
HR,0.21411901712417603
HU,0.3448074460029602
IE,0.22578763961791992
IT,0.21411901712417603
LT,0.09043174982070923
LU,0.41248542070388794
LV,0.07059508562088013
MD,0.4918319582939148
ME,0.42415404319763184
MK,0.23512250185012817
NL,0.27712953090667725
NO,0.34247374534606934
PL,0.05425906181335449
PT,0.013418912887573242
RO,0.47432905435562134
RS,0.30046671628952026
SE,0.30396735668182373
SI,0.2549591660499573
SK,0.051925331354141235
